"Date","Open","High","Low","Close","Adj Close","Volume"
"2021-11-29","3.97","4.13","3.97","4.13","3.969541","4100"
"2021-11-30","4.35","4.35","4.225","4.35","4.180993","8100"
"2021-12-01","4.35","4.35","4.35","4.35","4.180993","200"
"2021-12-02","4.29","4.29","4.29","4.29","4.123324","300"
"2021-12-03","4.305","4.305","4.305","4.305","4.137741","200"
"2021-12-06","4.29","4.43","4.29","4.43","4.257885","6600"
"2021-12-07","4.285","4.285","4.245","4.245","4.080072","300"
"2021-12-08","4.3","4.3","4.16","4.3","4.132936","2800"
"2021-12-09","4.275","4.41","4.275","4.397","4.226167","2800"
"2021-12-10","4.24","4.295","4.16","4.16","3.998374","4600"
"2021-12-13","4.335","4.43","4.24","4.43","4.257885","2700"
"2021-12-14","4.5","4.5","4.38","4.38","4.209827","5500"
"2021-12-15","4.45","4.45","4.33","4.366","4.196372","2800"
"2021-12-16","4.45","4.45","4.34","4.34","4.171381","3000"
"2021-12-17","4.49","4.49","4.31","4.49","4.315553","2200"
"2021-12-20","4.23","4.64","4.23","4.64","4.459725","5000"
"2021-12-21","4.34","4.43","4.25","4.25","4.084878","3900"
"2021-12-22","4.25","4.34","4.25","4.34","4.171381","1000"
"2021-12-23","4.438","4.44","4.427","4.427","4.255001","3700"
"2021-12-27","4.417","4.417","4.417","4.417","4.245389","300"
"2021-12-28","4.265","4.265","4.265","4.265","4.099295","200"
"2021-12-29","4.2","4.44","4.2","4.44","4.267496","2200"
"2021-12-30","4.415","4.55","4.415","4.55","4.373222","600"
"2021-12-31","4.54","4.54","4.405","4.405","4.233856","1300"
"2022-01-03","4.325","4.325","4.32","4.32","4.152159","1800"
"2022-01-04","4.38","4.452","4.38","4.452","4.27903","1300"
"2022-01-05","4.367","4.367","4.367","4.367","4.197332","500"
"2022-01-06","4.145","4.145","4.145","4.145","3.983958","1000"
"2022-01-07","4.19","4.29","4.19","4.29","4.123324","1400"
"2022-01-10","4.18","4.27","4.18","4.27","4.104101","3600"
"2022-01-11","4.13","4.13","4.13","4.13","3.969541","1600"
"2022-01-12","4.096","4.195","4.09","4.195","4.032015","6400"
"2022-01-13","4.2","4.2","4.2","4.2","4.03682","300"
"2022-01-14","4.144","4.144","4.144","4.144","3.982996","800"
"2022-01-18","3.99","4.24","3.99","4.24","4.075267","3300"
"2022-01-19","4.074","4.33","4.074","4.33","4.16177","4000"
"2022-01-20","4.215","4.35","4.08","4.35","4.180993","9000"
"2022-01-21","4.205","4.34","4.205","4.34","4.171381","300"
"2022-01-25","3.932","4.035","3.932","4.035","3.878231","900"
"2022-01-26","4.19","4.24","4.114","4.24","4.075267","84400"
"2022-01-27","4.48","4.48","4.48","4.48","4.305942","200"
"2022-01-28","4.385","4.58","4.385","4.58","4.402057","1700"
"2022-01-31","4.575","4.72","4.43","4.43","4.257885","5300"
"2022-02-01","4.585","4.73","4.585","4.73","4.546229","600"
"2022-02-02","4.56","4.71","4.41","4.56","4.382834","3500"
"2022-02-03","4.495","4.64","4.495","4.64","4.459725","1600"
"2022-02-04","4.443","4.443","4.24","4.24","4.075267","6600"
"2022-02-07","4.265","4.265","4.13","4.144","3.982996","4500"
"2022-02-08","4.35","4.35","4.35","4.35","4.180993","200"
"2022-02-09","4.356","4.37","4.09","4.31","4.142547","7200"
"2022-02-10","4.255","4.255","4.255","4.255","4.089684","400"
"2022-02-11","4.255","4.255","4.134","4.134","3.973385","500"
"2022-02-15","4.125","4.125","4","4","3.844591","1100"
"2022-02-16","4.125","4.125","4.125","4.125","3.964735","400"
"2022-02-17","4.015","4.13","4.015","4.13","3.969541","11000"
"2022-02-18","4.06","4.06","4.06","4.06","3.90226","600"
"2022-02-22","3.76","3.76","3.76","3.76","3.613916","800"
"2022-02-23","3.853","3.853","3.853","3.853","3.703302","700"
"2022-02-24","3.82","3.82","3.82","3.82","3.671584","200"
"2022-02-25","3.94","3.94","3.94","3.94","3.786922","1300"
"2022-02-28","4.06","4.06","4.06","4.06","3.90226","6300"
"2022-03-01","3.955","3.955","3.955","3.955","3.801339","300"
"2022-03-02","3.692","3.795","3.68","3.68","3.537024","3300"
"2022-03-04","3.6","3.785","3.6","3.785","3.637944","5500"
"2022-03-07","3.58","3.58","3.58","3.58","3.440909","1800"
"2022-03-08","3.44","3.69","3.44","3.57","3.431298","8100"
"2022-03-09","3.56","3.675","3.56","3.6","3.460132","4600"
"2022-03-10","3.705","3.705","3.705","3.705","3.561052","600"
"2022-03-11","3.855","3.94","3.73","3.94","3.786922","3900"
"2022-03-14","3.66","3.888","3.65","3.65","3.508189","10200"
"2022-03-15","3.645","3.76","3.53","3.76","3.613916","1700"
"2022-03-16","3.63","3.915","3.63","3.915","3.762893","10000"
